label,binned_values,number_of_bins,probabilities
Slc1a2,"[2, 4, 5, 3, 1, 2, 5, 2, 2, 2, 4, 3, 7, 2, 2, 5, 4, 7, 1, 2, 2, 4, 1, 2, 2, 1, 5, 1, 2, 7, 4, 2, 2, 3, 3, 2, 7, 4, 3, 5, 1, 6, 2, 2, 1, 1, 2, 5, 2, 6, 2, 2, 7, 2, 6, 2, 2, 5, 1, 2, 1, 3, 3, 3, 7, 5, 2, 3, 1, 2, 3, 1, 4, 2, 3, 2, 4, 6, 2, 1, 2, 5, 4, 1, 5, 1, 1, 4, 1, 3, 5, 5, 3, 3, 5, 2, 6, 1, 6, 3, 3, 1, 3, 3, 5, 2, 2, 3, 5, 4, 4, 4, 2, 1, 5, 4, 2, 1, 5, 4, 1, 5, 2, 2, 3, 5, 5, 2, 2, 6, 2, 2, 3, 4, 4, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 2, 6, 4, 2, 2, 7, 1, 5, 6, 4, 5, 3, 3, 2, 2, 2, 2, 6, 6, 3, 3, 3, 2, 1, 4, 2, 2, 1, 2, 3, 1, 2, 1, 1, 4, 2, 3, 1, 3, 2, 2, 7, 3, 3, 4, 2, 3, 2, 1, 1, 7, 5, 2, 6]",7,"[0.19, 0.32, 0.16, 0.11, 0.115, 0.06, 0.045]"
Ndrg2,"[1, 1, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 4, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 4, 1, 3, 1, 2, 1, 2, 4, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 3, 1, 1, 3, 1, 1, 2, 1, 1, 2, 4, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 3, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 3, 1, 2, 2, 2, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 4, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 2, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 2, 1, 4, 2, 1, 2]",4,"[0.72, 0.13, 0.085, 0.065]"
Hapln1,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 4, 1, 1, 3, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 4, 2, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 4, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 2, 1, 4, 2, 1, 3, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2]",4,"[0.78, 0.105, 0.06, 0.055]"
Lix1,"[2, 3, 1, 3, 1, 1, 2, 3, 1, 3, 3, 1, 2, 4, 1, 3, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 2, 2, 3, 1, 2, 3, 1, 1, 1, 1, 2, 3, 2, 1, 1, 1, 4, 1, 3, 2, 3, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 2, 2, 3, 1, 1, 1, 3, 3, 1, 3, 1, 3, 1, 3, 3, 1, 1, 1, 4, 1, 1, 3, 1, 1, 3, 2, 1, 2, 2, 1, 3, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 4, 1, 2, 1, 1, 2, 3, 1, 3, 2, 1, 3, 2, 1, 4, 2, 1, 3, 4, 3, 1, 1, 1, 2, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 4, 1, 3, 1, 4, 3, 2, 3, 2, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 2, 2, 3, 1, 4, 2, 2, 2, 1, 1, 4, 1, 3, 2, 1, 1, 3, 1, 1, 2]",4,"[0.525, 0.21, 0.21, 0.055]"
Dclk1,"[3, 3, 2, 4, 2, 1, 2, 4, 2, 4, 3, 2, 2, 3, 3, 2, 3, 2, 4, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 2, 4, 2, 3, 3, 3, 3, 2, 1, 3, 4, 1, 2, 3, 5, 1, 1, 2, 4, 1, 3, 3, 3, 3, 3, 2, 1, 4, 2, 1, 4, 1, 3, 4, 3, 2, 2, 4, 2, 1, 2, 4, 1, 4, 2, 4, 1, 2, 2, 1, 1, 3, 3, 2, 1, 4, 3, 1, 5, 3, 2, 2, 2, 2, 3, 4, 1, 2, 1, 1, 4, 3, 1, 4, 1, 4, 2, 1, 1, 4, 3, 4, 3, 1, 1, 3, 3, 4, 3, 4, 3, 1, 2, 3, 2, 3, 5, 3, 2, 3, 1, 1, 3, 2, 2, 2, 3, 1, 4, 2, 3, 1, 1, 1, 4, 1, 1, 3, 2, 1, 3, 4, 2, 2, 2, 3, 4, 4, 3, 5, 3, 4, 1, 1, 2, 2, 2, 1, 3, 5, 1, 2, 2, 1, 2, 3, 1, 3, 3, 1, 1, 5, 1, 4, 1, 4, 2, 3, 2, 5, 3, 4, 1, 3, 4, 1, 1, 3, 2, 1, 2]",5,"[0.285, 0.255, 0.255, 0.17, 0.035]"
Src,"[2, 2, 2, 4, 1, 3, 3, 3, 1, 4, 4, 1, 2, 1, 1, 3, 1, 1, 5, 1, 2, 1, 1, 1, 3, 1, 4, 1, 1, 1, 3, 1, 3, 5, 2, 1, 1, 1, 1, 4, 2, 2, 2, 3, 2, 1, 1, 5, 1, 3, 3, 4, 2, 3, 2, 1, 2, 1, 1, 1, 1, 3, 4, 3, 3, 2, 2, 2, 2, 3, 3, 1, 4, 1, 1, 1, 3, 1, 2, 1, 1, 1, 2, 1, 4, 3, 1, 3, 1, 3, 2, 1, 3, 3, 3, 3, 2, 1, 3, 3, 2, 1, 3, 1, 2, 1, 1, 1, 1, 4, 4, 2, 1, 1, 1, 3, 3, 2, 4, 3, 1, 2, 3, 3, 2, 4, 3, 3, 2, 3, 1, 3, 1, 2, 4, 2, 2, 3, 1, 2, 1, 1, 1, 4, 1, 1, 3, 3, 1, 2, 2, 2, 1, 2, 1, 5, 4, 4, 5, 1, 5, 1, 1, 3, 2, 1, 1, 3, 3, 1, 2, 4, 1, 1, 2, 1, 3, 2, 1, 3, 5, 2, 1, 1, 3, 2, 3, 2, 2, 2, 3, 1, 3, 1, 1, 1, 1, 3, 1, 1]",5,"[0.405, 0.225, 0.245, 0.09, 0.035]"
Slc6a1,"[4, 1, 1, 1, 1, 1, 2, 5, 1, 5, 4, 4, 3, 1, 1, 3, 1, 1, 4, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 3, 4, 4, 2, 3, 1, 2, 3, 1, 4, 4, 1, 3, 1, 5, 2, 1, 4, 1, 1, 4, 1, 4, 1, 1, 4, 2, 1, 3, 1, 1, 1, 4, 1, 5, 3, 3, 4, 1, 1, 4, 4, 1, 1, 1, 2, 1, 4, 4, 1, 1, 5, 4, 3, 1, 1, 1, 1, 1, 4, 1, 3, 3, 3, 1, 4, 2, 1, 1, 3, 5, 4, 2, 3, 2, 1, 1, 1, 1, 4, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 3, 5, 4, 1, 1, 3, 1, 1, 1, 3, 2, 1, 2, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 4, 1, 4, 3, 5, 1, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 4, 5, 1, 4, 1, 1, 1, 1, 1, 5, 4, 1, 1, 1, 3, 1, 1, 1, 2, 1, 3, 4, 1, 4, 1, 1, 3, 1, 1, 3, 3, 1, 2]",5,"[0.55, 0.08, 0.145, 0.17, 0.055]"
Tab2,"[1, 1, 2, 3, 5, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 3, 3, 1, 1, 3, 2, 5, 3, 1, 3, 1, 3, 2, 3, 3, 3, 1, 3, 1, 1, 1, 4, 4, 1, 1, 1, 1, 2, 1, 3, 4, 1, 3, 3, 3, 1, 3, 3, 2, 2, 4, 1, 2, 1, 1, 5, 1, 2, 1, 1, 3, 5, 5, 1, 5, 4, 1, 3, 1, 1, 1, 1, 1, 1, 2, 2, 2, 3, 1, 1, 3, 1, 2, 2, 1, 3, 4, 4, 4, 1, 4, 1, 1, 2, 4, 2, 3, 3, 2, 1, 1, 1, 3, 3, 1, 1, 2, 1, 3, 3, 3, 4, 1, 1, 2, 1, 1, 2, 3, 4, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 3, 2, 2, 2, 1, 4, 4, 3, 3, 2, 3, 1, 3, 1, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 1, 3, 1, 3, 1, 1, 4, 3, 2, 2, 2, 1, 1, 3, 1, 3, 1, 1, 1]",5,"[0.475, 0.205, 0.215, 0.075, 0.03]"
Scrg1,"[1, 3, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 3, 1, 1, 1, 1, 5, 1, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 4, 3, 1, 2, 1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 4, 1, 5, 5, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 5, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 3, 1, 4, 3, 1, 3, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 2, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 3, 1, 3, 1, 2, 2, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1, 4, 1, 1, 1, 1, 1, 3, 1, 3, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 1, 3, 3, 1, 1, 1, 1, 4, 2, 1, 2]",5,"[0.67, 0.12, 0.14, 0.05, 0.02]"
Laptm4a,"[1, 2, 2, 4, 1, 2, 2, 2, 2, 1, 2, 1, 2, 3, 2, 1, 3, 2, 2, 2, 1, 1, 1, 1, 3, 2, 3, 2, 1, 2, 2, 2, 3, 1, 2, 2, 3, 2, 2, 3, 2, 2, 2, 3, 2, 1, 1, 4, 1, 3, 2, 1, 1, 3, 2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 4, 2, 2, 1, 2, 3, 2, 1, 2, 2, 2, 2, 4, 1, 2, 4, 2, 2, 1, 1, 2, 4, 3, 1, 2, 1, 2, 2, 1, 1, 1, 1, 3, 1, 3, 2, 2, 3, 3, 1, 1, 2, 1, 2, 2, 3, 4, 2, 2, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 2, 2, 2, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 4, 1, 1, 2, 1, 2, 1, 1, 2, 3, 2, 4, 4, 1, 4, 2, 2, 1, 1, 2, 1, 2, 3, 1, 2, 2, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 4, 1, 2, 2, 2, 2, 4, 2, 3, 3, 1, 2, 2, 1, 2, 3]",4,"[0.335, 0.48, 0.12, 0.065]"
Ppap2b,"[1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 5, 1, 1, 4, 1, 4, 1, 1, 2, 2, 2, 1, 2, 1, 1, 2, 1, 5, 1, 1, 2, 1, 1, 1, 5, 1, 1, 1, 1, 4, 1, 1, 3, 1, 1, 1, 1, 5, 1, 1, 4, 1, 5, 1, 1, 4, 1, 2, 2, 2, 1, 1, 5, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1, 4, 5, 1, 1, 1, 1, 4, 1, 4, 1, 1, 2, 1, 1, 1, 3, 1, 2, 4, 2, 1, 2, 1, 2, 4, 1, 1, 1, 1, 4, 1, 4, 1, 2, 1, 1, 2, 2, 1, 4, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 4, 2, 4, 4, 1, 1, 1, 2, 1, 2, 1, 1, 4, 2, 2, 2, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 3, 2, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 1, 2, 2, 5, 4, 1, 3]",5,"[0.63, 0.185, 0.04, 0.1, 0.045]"
Fabp7,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 5, 1, 1, 4, 1, 4, 1, 1, 2, 1, 1, 1, 1, 2, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 4, 1, 4, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 5, 4, 1, 2]",5,"[0.77, 0.12, 0.045, 0.05, 0.015]"
Sparcl1,"[1, 2, 3, 4, 1, 3, 4, 3, 1, 4, 1, 1, 5, 3, 3, 4, 3, 5, 5, 1, 1, 2, 1, 2, 4, 2, 3, 1, 1, 5, 4, 3, 3, 3, 3, 3, 5, 1, 2, 1, 2, 5, 3, 2, 1, 1, 3, 4, 2, 5, 3, 4, 5, 3, 5, 2, 3, 4, 1, 3, 1, 3, 4, 4, 5, 3, 2, 3, 2, 3, 4, 1, 4, 1, 4, 1, 3, 5, 1, 1, 4, 1, 3, 2, 3, 3, 2, 4, 2, 3, 4, 4, 2, 3, 3, 1, 4, 2, 4, 3, 3, 1, 3, 1, 4, 1, 2, 2, 2, 3, 3, 3, 1, 1, 3, 3, 2, 3, 4, 4, 1, 4, 3, 3, 3, 3, 3, 3, 3, 4, 1, 4, 1, 3, 3, 4, 2, 4, 1, 3, 2, 2, 1, 2, 3, 1, 3, 4, 3, 3, 4, 5, 1, 4, 3, 5, 4, 3, 4, 3, 4, 2, 1, 4, 4, 3, 1, 3, 5, 1, 4, 2, 1, 2, 1, 3, 3, 3, 1, 3, 1, 1, 2, 1, 4, 3, 3, 5, 4, 3, 3, 2, 4, 3, 1, 2, 5, 4, 1, 5]",5,"[0.23, 0.15, 0.33, 0.205, 0.085]"
Dtna,"[1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 1, 2, 2, 2, 3, 2, 1, 1, 1, 2, 3, 1, 2, 1, 2, 2, 3, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 2, 3, 1, 2, 1, 3, 2, 3, 1, 2, 2, 2, 2, 3, 1, 1, 1, 2, 2, 2, 1, 2, 1, 4, 2, 1, 1, 2, 2, 3, 1, 1, 1, 2, 2, 2, 1, 1, 4, 2, 2, 1, 3, 2, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 2, 1, 3, 1, 1, 3, 2, 1, 2, 3, 2, 2, 1, 3, 1, 2, 1, 1, 2, 2, 1, 1, 3, 1, 1, 3, 1, 1, 1, 2, 1, 2, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1, 3, 2, 1, 1, 1, 1, 3, 1, 1, 2]",4,"[0.51, 0.355, 0.11, 0.025]"
Oat,"[3, 1, 2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 1, 2, 3, 4, 2, 1, 2, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 3, 1, 2, 2, 2, 2, 2, 1, 1, 2, 2, 4, 1, 1, 1, 2, 1, 3, 1, 2, 4, 3, 3, 2, 2, 1, 1, 3, 2, 1, 3, 3, 3, 3, 3, 2, 4, 1, 3, 1, 2, 1, 1, 1, 2, 2, 1, 1, 4, 2, 2, 2, 4, 2, 2, 2, 1, 1, 2, 2, 2, 1, 2, 1, 4, 3, 3, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 2, 4, 1, 1, 2, 1, 2, 2, 2, 4, 2, 1, 3, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, 1, 2, 1, 2, 2, 2, 3, 3, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 4, 1, 4, 3, 2, 1, 2, 1, 1, 2, 1, 2, 1, 1, 3, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 2, 1, 1, 4, 1, 4, 2, 1, 2, 1, 2, 3, 2, 2, 2]",4,"[0.435, 0.38, 0.12, 0.065]"
Cxcl14,"[3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 4, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 4, 4, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 1, 1, 3, 4, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 2, 2, 3, 1, 4, 1, 1, 1, 2, 4, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 1, 2, 1, 2]",4,"[0.77, 0.12, 0.06, 0.05]"
Ldhb,"[5, 2, 1, 3, 2, 2, 3, 3, 2, 4, 4, 2, 3, 3, 2, 2, 2, 3, 4, 2, 2, 2, 2, 1, 2, 1, 3, 1, 2, 3, 2, 5, 3, 3, 2, 3, 3, 2, 3, 3, 2, 3, 2, 5, 1, 3, 2, 3, 1, 3, 2, 3, 4, 2, 3, 2, 2, 2, 1, 3, 1, 3, 4, 5, 3, 5, 4, 2, 1, 5, 3, 1, 2, 2, 2, 2, 3, 2, 2, 2, 5, 3, 4, 1, 4, 3, 3, 3, 3, 2, 3, 1, 3, 3, 4, 2, 2, 2, 3, 5, 2, 2, 3, 1, 2, 2, 1, 2, 2, 2, 5, 2, 2, 2, 1, 3, 2, 1, 3, 4, 2, 2, 2, 2, 2, 3, 2, 3, 3, 3, 1, 2, 1, 3, 2, 2, 2, 4, 3, 2, 2, 2, 2, 2, 1, 1, 2, 3, 1, 3, 4, 3, 2, 2, 1, 5, 3, 3, 4, 3, 2, 2, 2, 2, 2, 2, 2, 4, 5, 2, 4, 2, 1, 2, 3, 1, 4, 2, 2, 1, 2, 1, 2, 3, 2, 2, 3, 4, 2, 2, 4, 2, 3, 3, 2, 2, 3, 2, 1, 4]",5,"[0.135, 0.44, 0.275, 0.095, 0.055]"
Gabrb1,"[2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 3, 1, 1, 1, 3, 1, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 4, 2, 2, 3, 1, 1, 2, 1, 1, 3, 1, 1, 2, 1, 2, 4, 1, 2, 2, 3, 1, 1, 2, 2, 1, 4, 2, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 3, 2, 1, 4, 1, 1, 3, 1, 1, 3, 2, 1, 1, 1, 1, 3, 2, 1, 1, 1, 4, 1, 1, 1, 3, 3, 4, 1, 1, 1, 1, 3, 2, 1, 4, 1, 1, 1, 1, 1, 4, 1, 1, 2, 3, 1, 1, 4, 1, 1, 4, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 2, 1, 1, 3, 3, 4, 3, 4, 3, 4, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 4, 1, 3, 2, 1, 3, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1]",4,"[0.6, 0.17, 0.145, 0.085]"
Grin3a,"[1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 3, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 1, 3, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 4, 2, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 4, 1, 2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 4, 1, 2, 1, 3, 1, 1, 1, 1, 2, 1, 2]",4,"[0.695, 0.21, 0.065, 0.03]"
