label,binned_values,number_of_bins,probabilities
Gja1,"[1, 1, 1, 1, 1, 1, 3, 1, 2, 1, 1, 1, 4, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 3, 1, 4, 2, 3, 3, 1, 1, 1, 1, 2, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 2, 1, 1, 3, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 3, 2, 1, 4, 3, 2, 3]",4,"[0.75, 0.075, 0.115, 0.06]"
Slc4a4,"[1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4, 2, 2, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 4, 1, 2, 1, 1, 3, 2, 2, 3, 1, 1, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 3, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 4, 1, 2, 3, 1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 4, 3, 1, 3]",4,"[0.735, 0.135, 0.095, 0.035]"
Plekhb1,"[1, 3, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 1, 3, 1, 2, 3, 2, 1, 4, 3, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 2, 4, 1, 1, 2, 1, 1, 1, 3, 4, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 4, 1, 1, 1, 2, 1, 2, 1, 3, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 3, 1, 2, 1, 2, 2, 3, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 3, 1, 1, 3, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 3, 2, 1, 1, 2]",4,"[0.65, 0.24, 0.09, 0.02]"
Trim9,"[3, 1, 3, 4, 1, 3, 2, 3, 4, 5, 1, 2, 2, 3, 3, 1, 5, 3, 4, 1, 1, 1, 1, 1, 4, 1, 3, 1, 1, 3, 3, 1, 3, 3, 1, 1, 3, 1, 1, 4, 1, 2, 4, 1, 1, 1, 1, 5, 1, 3, 3, 2, 2, 4, 5, 1, 3, 4, 1, 3, 1, 2, 5, 3, 1, 2, 2, 1, 1, 4, 3, 1, 5, 2, 4, 1, 3, 3, 1, 1, 5, 2, 1, 1, 5, 1, 1, 5, 2, 3, 2, 3, 2, 4, 3, 1, 1, 1, 1, 3, 2, 1, 3, 1, 4, 1, 1, 1, 3, 2, 3, 2, 1, 1, 2, 4, 2, 2, 4, 2, 1, 2, 3, 1, 1, 3, 4, 2, 4, 4, 1, 1, 1, 1, 2, 1, 1, 3, 2, 5, 1, 1, 1, 4, 1, 1, 3, 3, 1, 4, 3, 3, 1, 1, 4, 3, 4, 3, 3, 2, 5, 1, 1, 4, 3, 2, 1, 2, 3, 1, 1, 1, 1, 2, 3, 1, 3, 3, 1, 1, 4, 2, 3, 1, 4, 1, 4, 3, 3, 3, 4, 1, 5, 2, 1, 1, 4, 3, 1, 1]",5,"[0.41, 0.155, 0.24, 0.135, 0.06]"
Fermt2,"[1, 4, 3, 1, 4, 1, 1, 3, 3, 3, 1, 1, 3, 2, 1, 3, 2, 3, 3, 4, 2, 4, 2, 2, 2, 1, 1, 2, 1, 4, 3, 1, 2, 1, 1, 1, 4, 4, 2, 2, 2, 5, 1, 2, 2, 2, 1, 4, 1, 5, 1, 1, 2, 1, 2, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2, 1, 1, 2, 2, 2, 1, 1, 2, 3, 3, 4, 2, 2, 3, 2, 2, 1, 1, 1, 1, 1, 5, 2, 1, 2, 2, 4, 2, 3, 3, 3, 2, 1, 2, 1, 2, 4, 1, 3, 2, 5, 1, 3, 1, 3, 1, 2, 4, 3, 4, 1, 2, 2, 2, 2, 4, 3, 1, 4, 1, 1, 1, 2, 2, 2, 1, 2, 2, 4, 3, 1, 4, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 4, 1, 1, 2, 3, 1, 4, 1, 2, 3, 2, 2, 1, 2, 2, 2, 5, 1, 1, 3, 2, 2, 3, 4, 1, 1, 1, 2, 1, 2, 1, 1, 2, 2, 2, 1, 4, 2, 2, 2, 3, 1, 1, 1, 4, 1, 1, 1, 4, 3, 3, 1, 3]",5,"[0.37, 0.34, 0.15, 0.115, 0.025]"
S100b,"[1, 4, 1, 1, 1, 1, 2, 1, 5, 1, 1, 1, 4, 1, 1, 3, 1, 5, 1, 4, 4, 4, 1, 2, 1, 1, 1, 1, 1, 4, 1, 1, 4, 1, 1, 1, 4, 4, 1, 1, 2, 3, 2, 1, 1, 4, 1, 1, 2, 4, 1, 1, 4, 1, 3, 2, 3, 1, 2, 1, 4, 1, 1, 2, 3, 3, 1, 4, 1, 1, 1, 1, 1, 4, 1, 4, 1, 3, 1, 3, 1, 1, 1, 2, 2, 1, 4, 1, 1, 1, 2, 1, 4, 1, 1, 4, 4, 5, 4, 1, 1, 1, 1, 3, 1, 2, 1, 5, 1, 1, 1, 1, 4, 5, 2, 1, 1, 3, 1, 2, 1, 3, 1, 4, 2, 1, 1, 2, 1, 4, 1, 1, 2, 4, 1, 3, 5, 1, 5, 1, 3, 4, 1, 1, 1, 1, 1, 4, 2, 1, 1, 4, 1, 1, 2, 2, 1, 1, 2, 1, 1, 4, 1, 1, 3, 1, 4, 1, 1, 4, 4, 1, 1, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 1, 1, 4, 1, 1, 1, 1, 4, 3, 1, 2]",5,"[0.59, 0.115, 0.085, 0.175, 0.035]"
Add3,"[1, 1, 1, 4, 1, 3, 3, 4, 4, 3, 1, 1, 3, 3, 1, 3, 3, 4, 2, 1, 1, 2, 1, 3, 3, 1, 3, 1, 1, 4, 2, 1, 4, 1, 4, 3, 4, 1, 2, 2, 1, 2, 1, 3, 1, 1, 2, 5, 1, 2, 4, 3, 3, 1, 3, 1, 3, 1, 1, 3, 2, 3, 3, 2, 5, 3, 4, 1, 1, 1, 2, 1, 5, 1, 3, 1, 3, 3, 3, 1, 1, 1, 2, 1, 4, 1, 2, 5, 1, 1, 1, 2, 3, 4, 4, 1, 2, 1, 1, 4, 1, 1, 2, 1, 5, 1, 1, 1, 2, 3, 3, 3, 2, 1, 1, 2, 4, 2, 3, 3, 1, 2, 1, 1, 1, 5, 5, 2, 3, 2, 1, 2, 1, 1, 3, 1, 2, 1, 2, 2, 2, 2, 1, 4, 1, 1, 1, 3, 3, 1, 1, 4, 1, 2, 2, 5, 4, 2, 3, 2, 4, 1, 2, 1, 3, 2, 1, 2, 2, 2, 1, 1, 1, 2, 3, 2, 2, 1, 1, 2, 3, 1, 2, 1, 2, 2, 2, 3, 1, 3, 4, 3, 3, 2, 3, 2, 3, 1, 1, 3]",5,"[0.395, 0.24, 0.225, 0.1, 0.04]"
Sorbs1,"[2, 1, 1, 3, 1, 2, 3, 4, 1, 4, 2, 2, 2, 2, 2, 1, 2, 1, 5, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 2, 3, 4, 3, 2, 1, 2, 1, 1, 3, 4, 1, 1, 2, 4, 1, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 3, 1, 5, 1, 1, 4, 4, 1, 4, 1, 5, 1, 4, 1, 2, 1, 3, 3, 1, 2, 3, 1, 1, 3, 3, 1, 3, 1, 3, 2, 2, 1, 1, 1, 3, 4, 3, 1, 1, 1, 2, 1, 1, 1, 3, 3, 3, 1, 1, 1, 1, 3, 2, 3, 2, 3, 1, 1, 1, 1, 1, 4, 5, 3, 2, 3, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 1, 4, 2, 1, 2, 1, 3, 1, 1, 2, 2, 4, 1, 1, 1, 1, 2, 1, 3, 5, 1, 1, 1, 1, 1, 2, 1, 2, 4, 1, 1, 3, 2, 1, 1, 3, 3, 4, 1, 4, 2, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1]",5,"[0.535, 0.18, 0.175, 0.08, 0.03]"
Ccl7,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",2,"[0.945, 0.055]"
Cst3,"[3, 2, 4, 3, 1, 2, 4, 3, 3, 3, 4, 2, 5, 2, 1, 4, 2, 5, 3, 2, 1, 2, 1, 1, 1, 4, 3, 2, 1, 5, 3, 3, 2, 4, 3, 3, 6, 2, 3, 3, 2, 5, 2, 3, 1, 2, 2, 3, 3, 5, 2, 2, 5, 2, 4, 1, 2, 4, 1, 2, 1, 3, 3, 3, 4, 3, 3, 2, 4, 4, 3, 3, 3, 1, 2, 2, 3, 5, 2, 1, 3, 4, 2, 3, 3, 2, 2, 3, 2, 2, 6, 3, 3, 2, 2, 1, 5, 2, 5, 3, 4, 2, 2, 2, 2, 1, 4, 2, 2, 2, 5, 4, 2, 2, 3, 2, 2, 3, 3, 3, 2, 4, 2, 2, 2, 3, 2, 2, 2, 5, 4, 2, 2, 3, 3, 2, 2, 3, 2, 2, 2, 1, 2, 2, 1, 2, 2, 6, 1, 3, 4, 5, 2, 4, 2, 3, 3, 2, 3, 2, 3, 2, 5, 5, 5, 3, 1, 3, 3, 2, 3, 2, 3, 2, 2, 6, 3, 2, 2, 2, 3, 2, 2, 1, 3, 2, 2, 5, 3, 2, 4, 1, 3, 3, 2, 1, 5, 4, 4, 5]",6,"[0.11, 0.39, 0.28, 0.11, 0.09, 0.02]"
Ccl3,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1]",3,"[0.935, 0.055, 0.01]"
Sepp1,"[1, 3, 5, 1, 3, 1, 2, 1, 4, 1, 1, 1, 3, 1, 1, 3, 1, 3, 1, 3, 3, 4, 1, 1, 1, 5, 1, 1, 3, 3, 1, 1, 3, 1, 1, 1, 3, 5, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 3, 3, 1, 1, 3, 1, 2, 3, 1, 2, 3, 1, 3, 1, 1, 1, 3, 1, 1, 3, 5, 2, 1, 3, 1, 3, 1, 3, 1, 3, 1, 2, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 3, 2, 3, 1, 1, 2, 2, 3, 3, 1, 1, 3, 1, 1, 1, 2, 4, 3, 2, 1, 1, 4, 4, 4, 2, 2, 1, 1, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1, 3, 3, 1, 3, 3, 1, 1, 4, 1, 3, 1, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 3, 1, 1, 1, 1, 4, 2, 2, 3, 1, 3, 1, 1, 3, 1, 1, 4, 1, 1, 2, 1, 1, 3, 1, 1, 3, 1, 3, 1, 1, 1, 3, 1, 1, 1, 4, 1, 1, 3, 2, 3, 3, 5, 3]",5,"[0.56, 0.11, 0.25, 0.055, 0.025]"
B2m,"[1, 3, 5, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4, 1, 2, 2, 2, 1, 3, 2, 5, 2, 1, 2, 3, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 1, 2, 1, 1, 1, 2, 3, 4, 3, 1, 1, 3, 3, 3, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 5, 3, 4, 4, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 5, 1, 1, 2, 3, 1, 1, 1, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1, 1, 1, 1, 2, 1, 5, 1, 1, 2, 1, 5, 5, 1, 3, 2, 1, 1, 3, 1, 2, 2, 3, 1, 2, 4, 1, 2, 3, 1, 2, 1, 5, 1, 1, 1, 1, 1, 3, 1, 1, 3, 1, 1, 2, 2, 2, 1, 1, 3, 1, 2, 1, 1, 1, 2, 3, 1, 3, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 3, 1, 5, 2, 1, 4, 1, 2, 3, 3, 1, 1, 2, 1, 3, 1, 2, 4, 4, 2, 1, 2, 1, 3, 1, 1, 2, 2, 5, 1]",5,"[0.56, 0.2, 0.145, 0.045, 0.05]"
Ubash3b,"[1, 1, 1, 1, 3, 1, 1, 4, 2, 4, 4, 3, 1, 1, 2, 1, 1, 2, 4, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 3, 3, 1, 1, 1, 4, 1, 1, 3, 3, 1, 1, 1, 4, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 3, 1, 3, 4, 1, 1, 3, 4, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 4, 2, 1, 3, 1, 1, 1, 4, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 4, 4, 1, 1, 1, 2, 2, 1, 1, 3, 1, 4, 1, 1, 1, 1, 2, 1, 1, 1, 3, 1, 1, 2, 1, 1, 3, 3, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 2, 1, 4, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 2, 1, 1, 1, 1, 1, 1]",4,"[0.695, 0.115, 0.095, 0.095]"
Cntnap2,"[3, 1, 1, 3, 1, 1, 2, 3, 1, 3, 3, 2, 1, 2, 2, 1, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 1, 2, 3, 3, 2, 1, 2, 1, 1, 4, 3, 1, 1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 3, 1, 2, 1, 1, 2, 1, 1, 2, 1, 2, 2, 2, 1, 3, 3, 1, 1, 3, 3, 1, 3, 1, 2, 1, 3, 1, 1, 1, 3, 4, 2, 1, 3, 1, 1, 2, 3, 2, 1, 1, 3, 3, 4, 1, 2, 1, 1, 3, 4, 1, 1, 1, 3, 1, 1, 1, 3, 3, 4, 1, 1, 1, 1, 2, 3, 2, 3, 3, 1, 1, 1, 1, 2, 3, 3, 2, 3, 1, 1, 3, 1, 1, 2, 2, 1, 1, 1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 3, 2, 2, 2, 2, 3, 1, 1, 1, 1, 1, 1, 3, 2, 1, 2, 1, 1, 1, 3, 1, 2, 2, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 3, 2, 4, 1, 2, 3, 1, 1, 2, 1, 1, 1]",4,"[0.52, 0.24, 0.21, 0.03]"
Elmo1,"[1, 1, 1, 1, 1, 1, 1, 4, 1, 3, 4, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 2, 3, 1, 3, 1, 2, 1, 1, 2, 4, 1, 1, 1, 4, 1, 1, 2, 2, 1, 1, 1, 4, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 3, 1, 3, 1, 1, 3, 2, 3, 1, 2, 1, 1, 2, 4, 1, 2, 1, 2, 4, 2, 1, 2, 1, 1, 1, 3, 1, 1, 1, 4, 1, 3, 1, 1, 1, 1, 1, 4, 1, 1, 3, 1, 2, 1, 1, 2, 1, 4, 3, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 2, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 3, 1, 1, 2, 1, 4, 1, 1, 3, 1, 1, 2, 1, 1, 1, 1, 2, 4, 2, 1, 2, 1, 1, 1, 2, 3, 3, 2, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4, 2, 1, 1, 1, 1, 1, 1, 1, 2]",4,"[0.63, 0.215, 0.09, 0.065]"
Arl4c,"[1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 3, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 3, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 1]",3,"[0.765, 0.19, 0.045]"
Igf1,"[2, 2, 2, 1, 1, 1, 1, 2, 1, 3, 3, 2, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 4, 1, 1, 1, 2, 3, 1, 4, 1, 2, 1, 1, 2, 3, 1, 1, 1, 4, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 3, 2, 1, 2, 4, 4, 2, 1, 1, 2, 1, 2, 1, 1, 1, 1, 4, 1, 3, 1, 1, 1, 1, 3, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 2, 3, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 4, 3, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 3, 3, 1, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 3, 1, 1, 2, 1, 1, 1, 1, 1, 2]",4,"[0.705, 0.165, 0.09, 0.04]"
Nrxn3,"[4, 2, 3, 4, 1, 2, 4, 5, 2, 3, 5, 2, 1, 3, 1, 1, 3, 1, 5, 2, 1, 2, 1, 2, 3, 2, 4, 2, 2, 2, 2, 4, 3, 4, 2, 4, 1, 1, 4, 4, 1, 2, 3, 5, 1, 1, 3, 4, 2, 2, 2, 4, 1, 3, 2, 3, 3, 1, 1, 3, 1, 3, 4, 4, 1, 4, 4, 2, 1, 4, 5, 1, 4, 2, 3, 1, 4, 1, 1, 1, 4, 5, 2, 1, 4, 3, 1, 3, 4, 2, 1, 1, 4, 1, 4, 1, 1, 2, 1, 4, 5, 1, 3, 1, 3, 1, 1, 2, 4, 3, 5, 2, 2, 1, 1, 2, 4, 3, 4, 4, 1, 1, 3, 2, 2, 5, 3, 3, 2, 1, 1, 1, 2, 1, 3, 2, 2, 5, 1, 3, 2, 1, 1, 4, 1, 1, 2, 1, 1, 3, 3, 3, 2, 2, 1, 5, 3, 3, 4, 3, 3, 2, 2, 1, 1, 2, 2, 4, 5, 2, 3, 1, 1, 3, 3, 1, 3, 4, 1, 1, 3, 3, 4, 1, 2, 2, 2, 1, 5, 3, 5, 1, 3, 4, 1, 1, 1, 1, 1, 2]",5,"[0.33, 0.23, 0.2, 0.17, 0.07]"
